,Accuracy,Optimiser,Hidden_Layer,Hidden_Layer1,Hidden_Layer2,Batch,F1_score,F1_score_,FN,FN_,FP,FP_,N_ReCall,N_ReCall_,P_ReCall,P_ReCall_,TN,TN_,TP,TP_
826,53.045010566711426,adam,14,11,17,10,0.61,0.44,152.0,21.0,28.0,511.0,0.9752212389380531,0.4359823399558499,0.47586206896551725,0.9074889867841409,1102.0,395.0,138.0,206.0
827,66.10767841339111,sgd,14,11,17,10,0.43,0.5,204.0,38.0,22.0,346.0,0.9805309734513274,0.6181015452538632,0.296551724137931,0.8325991189427313,1108.0,560.0,86.0,189.0
828,46.60194218158722,adam,14,11,19,10,0.64,0.4,134.0,23.0,39.0,582.0,0.9654867256637168,0.3576158940397351,0.5379310344827586,0.8986784140969163,1091.0,324.0,156.0,204.0
829,48.36716651916504,sgd,14,11,19,10,0.48,0.42,179.0,17.0,61.0,568.0,0.9460176991150443,0.3730684326710817,0.38275862068965516,0.9251101321585903,1069.0,338.0,111.0,210.0
830,38.305383920669556,adam,14,11,21,10,0.62,0.38,146.0,16.0,30.0,683.0,0.9734513274336283,0.24613686534216336,0.496551724137931,0.9295154185022027,1100.0,223.0,144.0,211.0
831,51.10326409339905,sgd,14,11,21,10,0.52,0.43,173.0,22.0,42.0,532.0,0.9628318584070796,0.41280353200883,0.40344827586206894,0.9030837004405287,1088.0,374.0,117.0,205.0
832,41.12974405288696,adam,14,11,23,10,0.6,0.39,156.0,16.0,23.0,651.0,0.9796460176991151,0.2814569536423841,0.46206896551724136,0.9295154185022027,1107.0,255.0,134.0,211.0
833,49.86760914325714,sgd,14,11,23,10,0.53,0.42,176.0,18.0,23.0,550.0,0.9796460176991151,0.39293598233995586,0.3931034482758621,0.920704845814978,1107.0,356.0,114.0,209.0
834,47.48455286026001,adam,14,11,25,10,0.59,0.41,140.0,22.0,65.0,573.0,0.9424778761061947,0.3675496688741722,0.5172413793103449,0.9030837004405287,1065.0,333.0,150.0,205.0
835,59.48808193206787,sgd,14,11,25,10,0.46,0.46,193.0,35.0,38.0,424.0,0.9663716814159292,0.5320088300220751,0.33448275862068966,0.8458149779735683,1092.0,482.0,97.0,192.0
836,38.92321288585663,adam,14,11,27,10,0.6,0.39,135.0,10.0,70.0,682.0,0.9380530973451328,0.24724061810154527,0.5344827586206896,0.9559471365638766,1060.0,224.0,155.0,217.0
837,65.6663715839386,sgd,14,11,27,10,0.44,0.47,201.0,56.0,25.0,333.0,0.9778761061946902,0.6324503311258278,0.30689655172413793,0.7533039647577092,1105.0,573.0,89.0,171.0
838,39.80582654476166,adam,14,11,29,10,0.61,0.39,157.0,12.0,13.0,670.0,0.988495575221239,0.26048565121412803,0.4586206896551724,0.947136563876652,1117.0,236.0,133.0,215.0
839,73.60988259315491,sgd,14,11,29,10,0.46,0.54,191.0,52.0,45.0,247.0,0.9601769911504425,0.7273730684326711,0.3413793103448276,0.7709251101321586,1085.0,659.0,99.0,175.0
840,54.633718729019165,adam,14,13,3,10,0.52,0.43,180.0,32.0,23.0,482.0,0.9796460176991151,0.46799116997792495,0.3793103448275862,0.8590308370044053,1107.0,424.0,110.0,195.0
841,54.98676300048828,sgd,14,13,3,10,0.49,0.45,190.0,19.0,22.0,491.0,0.9805309734513274,0.45805739514348787,0.3448275862068966,0.9162995594713657,1108.0,415.0,100.0,208.0
842,38.128861784935,adam,14,13,5,10,0.59,0.38,145.0,11.0,56.0,690.0,0.9504424778761061,0.23841059602649006,0.5,0.9515418502202643,1074.0,216.0,145.0,216.0
843,55.95763325691223,sgd,14,13,5,10,0.48,0.44,190.0,32.0,28.0,467.0,0.9752212389380531,0.4845474613686534,0.3448275862068966,0.8590308370044053,1102.0,439.0,100.0,195.0
844,43.512797355651855,adam,14,13,7,10,0.6,0.4,148.0,16.0,41.0,624.0,0.963716814159292,0.31125827814569534,0.4896551724137931,0.9295154185022027,1089.0,282.0,142.0,211.0
845,68.84377598762512,sgd,14,13,7,10,0.44,0.5,197.0,48.0,37.0,305.0,0.9672566371681416,0.6633554083885209,0.32068965517241377,0.788546255506608,1093.0,601.0,93.0,179.0
846,51.54457092285156,adam,14,13,9,10,0.61,0.41,149.0,33.0,28.0,516.0,0.9752212389380531,0.4304635761589404,0.4862068965517241,0.8546255506607929,1102.0,390.0,141.0,194.0
847,61.34157180786133,sgd,14,13,9,10,0.47,0.46,183.0,44.0,57.0,394.0,0.9495575221238938,0.565121412803532,0.3689655172413793,0.8061674008810573,1073.0,512.0,107.0,183.0
848,52.162402868270874,adam,14,13,11,10,0.68,0.43,112.0,23.0,56.0,519.0,0.9504424778761061,0.4271523178807947,0.6137931034482759,0.8986784140969163,1074.0,387.0,178.0,204.0
849,61.42983436584473,sgd,14,13,11,10,0.44,0.47,204.0,32.0,18.0,405.0,0.984070796460177,0.5529801324503312,0.296551724137931,0.8590308370044053,1112.0,501.0,86.0,195.0
850,52.60370969772339,adam,14,13,13,10,0.6,0.44,146.0,18.0,45.0,519.0,0.9601769911504425,0.4271523178807947,0.496551724137931,0.920704845814978,1085.0,387.0,144.0,209.0
851,57.98764228820801,sgd,14,13,13,10,0.49,0.46,171.0,24.0,75.0,452.0,0.9336283185840708,0.5011037527593819,0.4103448275862069,0.8942731277533039,1055.0,454.0,119.0,203.0
852,53.57457995414734,adam,14,13,15,10,0.62,0.43,144.0,29.0,33.0,497.0,0.9707964601769912,0.45143487858719644,0.503448275862069,0.8722466960352423,1097.0,409.0,146.0,198.0
853,53.30979824066162,sgd,14,13,15,10,0.47,0.43,183.0,24.0,57.0,505.0,0.9495575221238938,0.44260485651214126,0.3689655172413793,0.8942731277533039,1073.0,401.0,107.0,203.0
854,53.751105070114136,adam,14,13,17,10,0.65,0.42,138.0,38.0,29.0,486.0,0.9743362831858408,0.46357615894039733,0.5241379310344828,0.8325991189427313,1101.0,420.0,152.0,189.0
855,52.60370969772339,sgd,14,13,17,10,0.52,0.43,184.0,23.0,11.0,514.0,0.9902654867256637,0.4326710816777042,0.36551724137931035,0.8986784140969163,1119.0,392.0,106.0,204.0
